"FID_","id","mesh","緯度","経度","３次_メッシュ_コード","３次メッシュコード略号","調査_地点名","調査_年月日","天_候","方位","傾斜","面積_（ｍ×ｍ）","備考","年の位置情報も提出する地点とその状況"
,"H96-H6","54384796",36.413780,138.958670,54384796.000000,"榛名山96","H96-H6",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"H96-G2","54384796",36.413060,138.958960,54384796.000000,"榛名山96","H96-G2",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"H96-H5","54384796",36.413380,138.958830,54384796.000000,"榛名山96","H96-H5",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"H96-H4","54384796",36.417830,138.953840,54384796.000000,"榛名山96","H96-H4",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-H3","54384796",36.414350,138.953250,54384796.000000,"榛名山96","H96-H3",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-S3","54384796",36.411620,138.954040,54384796.000000,"榛名山96","H96-S3",2007/08/20 0:00:00,"晴","N10E","30","1×1","刈り払いされている",""
,"H96-17","54384796",36.413570,138.962100,54384796.000000,"榛名山96","H96-17",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-16","54384796",36.412800,138.961320,54384796.000000,"榛名山96","H96-16",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-15","54384796",36.412980,138.961540,54384796.000000,"榛名山96","H96-15",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-A5","54384796",36.416510,138.961170,54384796.000000,"榛名山96","H96-A5",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-A1","54384796",36.411610,138.956410,54384796.000000,"榛名山96","H96-A1",2007/08/20 0:00:00,"晴","－","－","1×1","GPS地点は年数の経った住宅地であり、位置は明らかに間違っている。",""
,"H96-13","54384796",36.410580,138.957400,54384796.000000,"榛名山96","H96-13",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-14","54384796",36.410490,138.957650,54384796.000000,"榛名山96","H96-14",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-A3","54384796",36.410720,138.957260,54384796.000000,"榛名山96","H96-A3",2007/08/20 0:00:00,"晴","－","－","1×1","刈り払いされている",""
,"H96-A4","54384796",36.411200,138.956930,54384796.000000,"榛名山96","H96-A4",2007/08/20 0:00:00,"晴","－","－","1×1","刈り払いされている",""
,"H96-A2","54384796",36.412220,138.956150,54384796.000000,"榛名山96","H96-A2",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-12","54384796",36.413480,138.955670,54384796.000000,"榛名山96","H96-12",2007/08/20 0:00:00,"晴","－","－","1×1","現状を参考に位置をずらして地点を設定した。",""
,"H96-11","54384796",36.413230,138.955420,54384796.000000,"榛名山96","H96-11",2007/08/20 0:00:00,"晴","－","－","1×1","現状を参考に位置をずらして地点を設定した。",""
,"H96-H2","54384796",36.416120,138.956240,54384796.000000,"榛名山96","H96-H2",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-H1","54384796",36.416070,138.955900,54384796.000000,"榛名山96","H96-H1",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-10","54384796",36.416030,138.955330,54384796.000000,"榛名山96","H96-10",2007/08/20 0:00:00,"晴","－","－","1×1","刈り払いされている",""
,"H96-09","54384796",36.415840,138.954980,54384796.000000,"榛名山96","H96-09",2007/08/20 0:00:00,"晴","－","－","1×1","刈り払いされている",""
,"H96-G1","54384796",36.412230,138.951120,54384796.000000,"榛名山96","H96-G1",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-08","54384796",36.412530,138.951480,54384796.000000,"榛名山96","H96-08",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-S1","54384796",36.412920,138.951320,54384796.000000,"榛名山96","H96-S1",2007/08/20 0:00:00,"晴","S70W","40","1×1","",""
,"H96-S2","54384796",36.413030,138.951220,54384796.000000,"榛名山96","H96-S2",2007/08/20 0:00:00,"晴","S85W","40","1×1","",""
,"H96-07","54384796",36.413130,138.951010,54384796.000000,"榛名山96","H96-07",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-06","54384796",36.413220,138.951080,54384796.000000,"榛名山96","H96-06",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-05","54384796",36.413140,138.951090,54384796.000000,"榛名山96","H96-05",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-04","54384796",36.412930,138.951170,54384796.000000,"榛名山96","H96-04",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-03","54384796",36.412860,138.951190,54384796.000000,"榛名山96","H96-03",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"H96-02","54384796",36.412780,138.950720,54384796.000000,"榛名山96","H96-02",2007/08/20 0:00:00,"晴","－","－","1×1","土入れ（客土？）されている。",""
,"H96-01","54384796",36.412870,138.950660,54384796.000000,"榛名山96","H96-01",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"T52-A1","54400052",36.048610,140.028400,54400052.000000,"土浦52","T52-A1",2007/08/19 0:00:00,"曇のち晴","－","0","2×0.5","","前回調査地点から大幅に離れていた"
,"T52-A2","54400052",36.047940,140.028230,54400052.000000,"土浦52","T52-A2",2007/08/19 0:00:00,"曇のち晴","－","0","2×0.5","","前回調査地点から大幅に離れていた"
,"T52-A3","54400052",36.047800,140.028420,54400052.000000,"土浦52","T52-A3",2007/08/19 0:00:00,"曇のち晴","－","0","2.5×0.4","2m離れた所にフタバムグラあり。","前回調査地点から大幅に離れていた"
,"T52-A4","54400052",36.047770,140.028560,54400052.000000,"土浦52","T52-A4",2007/08/19 0:00:00,"曇のち晴","－","0","0.4×2.5","除草剤または刈り払いにより枯れたヒデリコあり(60%)。","前回調査地点から大幅に離れていた"
,"T52-A5","54400052",36.047720,140.028970,54400052.000000,"土浦52","T52-A5",2007/08/19 0:00:00,"曇のち晴","－","0","0.3×3.3","枯れたヒデリコ・メヒシバ・ヒメジソ・ヒナガヤツリあり。","前回調査地点から大幅に離れていた"
,"T52-J1","54400052",36.046530,140.031150,54400052.000000,"土浦52","T52-J1",2007/08/19 0:00:00,"曇のち晴","W30N","20","10×10","",""
,"T52-J2","54400052",36.046580,140.031210,54400052.000000,"土浦52","T52-J2",2007/08/19 0:00:00,"曇のち晴","－","0","5×20","",""
,"T52-01","54400052",36.046020,140.030780,54400052.000000,"土浦52","T52-01",2007/08/19 0:00:00,"曇のち晴","－","0","1×1","",""
,"T52-02","54400052",36.046040,140.030830,54400052.000000,"土浦52","T52-02",2007/08/19 0:00:00,"曇のち晴","－","0","1×1","",""
,"T52-03","54400052",36.045910,140.030870,54400052.000000,"土浦52","T52-03",2007/08/19 0:00:00,"曇のち晴","－","0","1×1","",""
,"T52-06","54400052",36.045760,140.030900,54400052.000000,"土浦52","T52-06",2007/08/19 0:00:00,"曇のち晴","－","0","1×1","",""
,"T52-08","54400052",36.045900,140.030780,54400052.000000,"土浦52","T52-08",2007/08/19 0:00:00,"曇のち晴","－","0","1×1","少し場所が定かでない。",""
,"T52-05","54400052",36.045680,140.030750,54400052.000000,"土浦52","T52-05",2007/08/19 0:00:00,"曇のち晴","－","0","1×1","",""
,"T52-04","54400052",36.045700,140.030800,54400052.000000,"土浦52","T52-04",2007/08/19 0:00:00,"曇のち晴","－","0","1×1","地点がよく分からなかった。アカメヤナギが大きすぎる。",""
,"T52-09","54400052",36.045960,140.030750,54400052.000000,"土浦52","T52-09",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-07","54400052",36.045950,140.030770,54400052.000000,"土浦52","T52-07",2007/08/20 0:00:00,"晴","－","－","1×1","",""
,"T52-11","54400052",36.053620,140.029960,54400052.000000,"土浦52","T52-11",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-12","54400052",36.053280,140.030460,54400052.000000,"土浦52","T52-12",2007/08/20 0:00:00,"晴","－","0","1×1","隣の田にマコモが茂る。",""
,"T52-13","54400052",36.053390,140.030990,54400052.000000,"土浦52","T52-13",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-14","54400052",36.053390,140.031010,54400052.000000,"土浦52","T52-14",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-15","54400052",36.053150,140.031490,54400052.000000,"土浦52","T52-15",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-16","54400052",36.052190,140.031090,54400052.000000,"土浦52","T52-16",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-17","54400052",36.052010,140.030930,54400052.000000,"土浦52","T52-17",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-18","54400052",36.052280,140.031220,54400052.000000,"土浦52","T52-18",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-H1","54400052",36.049530,140.033500,54400052.000000,"土浦52","T52-H1",2007/08/20 0:00:00,"晴","S20E","16","1×1","",""
,"T52-H2","54400052",36.049410,140.033360,54400052.000000,"土浦52","T52-H2",2007/08/20 0:00:00,"晴","S20E","16","1×1","",""
,"T52-H3","54400052",36.049520,140.033210,54400052.000000,"土浦52","T52-H3",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-H4","54400052",36.049520,140.033140,54400052.000000,"土浦52","T52-H4",2007/08/20 0:00:00,"晴","W","5","1×1","",""
,"T52-G1","54400052",36.049270,140.034110,54400052.000000,"土浦52","T52-G1",2007/08/20 0:00:00,"晴","S20E","15","1×1","",""
,"T52-H5","54400052",36.049170,140.034000,54400052.000000,"土浦52","T52-H5",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-H6","54400052",36.049240,140.033650,54400052.000000,"土浦52","T52-H6",2007/08/20 0:00:00,"晴","S20E","15","1×1","",""
,"T52-G2","54400052",36.049340,140.033680,54400052.000000,"土浦52","T52-G2",2007/08/20 0:00:00,"晴","S20E","30","2×0.5","",""
,"T52-G3","54400052",36.050300,140.032090,54400052.000000,"土浦52","T52-G3",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-H7","54400052",36.050190,140.031750,54400052.000000,"土浦52","T52-H7",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T52-10","54400052",36.053340,140.030390,54400052.000000,"土浦52","T52-10",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"M83-G3","54394083",36.397130,139.031510,54394083.000000,"前橋83","M83-G3",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-H7","54394083",36.395970,139.032050,54394083.000000,"前橋83","M83-H7",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-H6","54394083",36.396000,139.031050,54394083.000000,"前橋83","M83-H6",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-H5","54394083",36.395870,139.031050,54394083.000000,"前橋83","M83-H5",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-H4","54394083",36.396150,139.031080,54394083.000000,"前橋83","M83-H4",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-H3","54394083",36.396940,139.031230,54394083.000000,"前橋83","M83-H3",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-H2","54394083",36.396860,139.031030,54394083.000000,"前橋83","M83-H2",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-G2","54394083",36.396780,139.030580,54394083.000000,"前橋83","M83-G2",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-H1","54394083",36.397000,139.030680,54394083.000000,"前橋83","M83-H1",2007/08/22 0:00:00,"晴","－","－","1×1","",""
,"M83-09","54394083",36.398370,139.035030,54394083.000000,"前橋83","M83-09",2007/08/21 0:00:00,"晴","－","－","1×1","土入れ（客土？）されている。",""
,"M83-A3","54394083",36.398010,139.034570,54394083.000000,"前橋83","M83-A3",2007/08/21 0:00:00,"晴","－","－","1×1","刈り払いされている",""
,"M83-10","54394083",36.398090,139.035020,54394083.000000,"前橋83","M83-10",2007/08/21 0:00:00,"晴","－","－","1×1","土入れ（客土？）されている。",""
,"M83-A4","54394083",36.397960,139.035410,54394083.000000,"前橋83","M83-A4",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-07","54394083",36.396730,139.035320,54394083.000000,"前橋83","M83-07",2007/08/21 0:00:00,"晴","－","－","1×1","","前回調査地点から大幅に離れていた"
,"M83-A5","54394083",36.396810,139.035400,54394083.000000,"前橋83","M83-A5",2007/08/21 0:00:00,"晴","－","－","1×1","刈り払いされている",""
,"M83-18","54394083",36.396430,139.036310,54394083.000000,"前橋83","M83-18",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-17","54394083",36.396680,139.036270,54394083.000000,"前橋83","M83-17",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-12","54394083",36.396970,139.036310,54394083.000000,"前橋83","M83-12",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-11","54394083",36.397170,139.036300,54394083.000000,"前橋83","M83-11",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-14","54394083",36.396960,139.036710,54394083.000000,"前橋83","M83-14",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-13","54394083",36.397170,139.036740,54394083.000000,"前橋83","M83-13",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-16","54394083",36.397780,139.036890,54394083.000000,"前橋83","M83-16",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-15","54394083",36.397510,139.036890,54394083.000000,"前橋83","M83-15",2007/08/21 0:00:00,"晴","－","－","1×1","タマネギが捨ててある。",""
,"M83-G1","54394083",36.412750,139.044410,54394083.000000,"前橋83","M83-G1",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-A2","54394083",36.412610,139.044400,54394083.000000,"前橋83","M83-A2",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-05","54394083",36.413370,139.043100,54394083.000000,"前橋83","M83-05",2007/08/21 0:00:00,"晴","－","－","1×1","造成地。",""
,"M83-S1","54394083",36.413460,139.042970,54394083.000000,"前橋83","M83-S1",2007/08/21 0:00:00,"晴","－","－","1×1","造成地。",""
,"M83-02","54394083",36.413170,139.042320,54394083.000000,"前橋83","M83-02",2007/08/21 0:00:00,"晴","－","－","1×1","水量増加。",""
,"M83-A1","54394083",36.412880,139.042620,54394083.000000,"前橋83","M83-A1",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-03","54394083",36.412970,139.042460,54394083.000000,"前橋83","M83-03",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"M83-01","54394083",36.412900,139.042300,54394083.000000,"前橋83","M83-01",2007/08/21 0:00:00,"晴","－","－","1×1","水量増加。",""
,"T63-A1","54401163",36.139780,140.160830,54401163.000000,"土浦63","T63-A1",2007/08/20 0:00:00,"晴","－","0","1×1","除草剤の影響によりセイタカアワダチソウが枯れていた。",""
,"T63-A2","54401163",36.139810,140.160750,54401163.000000,"土浦63","T63-A2",2007/08/20 0:00:00,"晴","－","0","1×1","刈り払い直後。",""
,"T63-A3","54401163",36.139960,140.160070,54401163.000000,"土浦63","T63-A3",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T63-A4","54401163",36.140040,140.159330,54401163.000000,"土浦63","T63-A4",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T63-A5","54401163",36.140050,140.158810,54401163.000000,"土浦63","T63-A5",2007/08/20 0:00:00,"晴","－","0","1×1","",""
,"T63-03","54401163",36.140470,140.158500,54401163.000000,"土浦63","T63-03",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-06","54401163",36.140590,140.158430,54401163.000000,"土浦63","T63-06",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-08","54401163",36.140780,140.158090,54401163.000000,"土浦63","T63-08",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-09","54401163",36.140870,140.157870,54401163.000000,"土浦63","T63-09",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-07","54401163",36.140530,140.157810,54401163.000000,"土浦63","T63-07",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-05","54401163",36.140200,140.158050,54401163.000000,"土浦63","T63-05",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-04","54401163",36.140120,140.158020,54401163.000000,"土浦63","T63-04",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-02","54401163",36.139870,140.158270,54401163.000000,"土浦63","T63-02",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-01","54401163",36.140030,140.158340,54401163.000000,"土浦63","T63-01",2007/08/20 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-10","54401163",36.140340,140.156900,54401163.000000,"土浦63","T63-10",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-11","54401163",36.140340,140.156930,54401163.000000,"土浦63","T63-11",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-12","54401163",36.140480,140.156730,54401163.000000,"土浦63","T63-12",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-13","54401163",36.140390,140.156620,54401163.000000,"土浦63","T63-13",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-14","54401163",36.140550,140.156370,54401163.000000,"土浦63","T63-14",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-15","54401163",36.140310,140.156290,54401163.000000,"土浦63","T63-15",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-16","54401163",36.140290,140.156100,54401163.000000,"土浦63","T63-16",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-17","54401163",36.140440,140.155980,54401163.000000,"土浦63","T63-17",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-18","54401163",36.140790,140.156050,54401163.000000,"土浦63","T63-18",2007/08/21 0:00:00,"晴","－","0","1×1","復田した。",""
,"T63-G1","54401163",36.140560,140.155520,54401163.000000,"土浦63","T63-G1",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-H1","54401163",36.140190,140.155260,54401163.000000,"土浦63","T63-H1",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-H2","54401163",36.139880,140.155480,54401163.000000,"土浦63","T63-H2",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-G2","54401163",36.134990,140.167990,54401163.000000,"土浦63","T63-G2",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-H3","54401163",36.135050,140.167810,54401163.000000,"土浦63","T63-H3",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-H4","54401163",36.136670,140.167090,54401163.000000,"土浦63","T63-H4",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-G3","54401163",36.136940,140.167140,54401163.000000,"土浦63","T63-G3",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-H5","54401163",36.143120,140.168030,54401163.000000,"土浦63","T63-H5",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-H6","54401163",36.142900,140.168670,54401163.000000,"土浦63","T63-H6",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-H7","54401163",36.142860,140.168580,54401163.000000,"土浦63","T63-H7",2007/08/21 0:00:00,"晴","－","0","1×1","",""
,"T63-J1","54401163",36.142950,140.154570,54401163.000000,"土浦63","T63-J1",2007/08/21 0:00:00,"晴","－","0","20×5","",""
,"T63-J2","54401163",36.141270,140.155950,54401163.000000,"土浦63","T63-J2",2007/08/21 0:00:00,"晴","－","0","10×10","胸高直径6～10cmの倒木5本程度あり。",""
,"M18-17","54402118",36.183730,140.233680,54402118.000000,"真壁18","M18-17",2007/08/19 0:00:00,"晴","－","0","1×1","03年GPS地点から畦へ5m。復田した。イネ以外の植物は全て畦側に出現。",""
,"M18-16","54402118",36.183700,140.233590,54402118.000000,"真壁18","M18-16",2007/08/19 0:00:00,"晴","－","0","1×1","03年GPS地点から畦へ1m。復田した。16～18の遠景写真：8591。",""
,"M18-18","54402118",36.183960,140.233600,54402118.000000,"真壁18","M18-18",2007/08/19 0:00:00,"晴","－","0","1×1","復田した。",""
,"M18-13","54402118",36.183770,140.233710,54402118.000000,"真壁18","M18-13",2007/08/19 0:00:00,"晴","－","0","1×1","復田した。畦側は草が少ない。",""
,"M18-15","54402118",36.183830,140.234160,54402118.000000,"真壁18","M18-15",2007/08/19 0:00:00,"晴","－","0","1×1","03年GPS地点から畦へ4m。復田した。",""
,"M18-14","54402118",36.183620,140.234060,54402118.000000,"真壁18","M18-14",2007/08/19 0:00:00,"晴","－","0","1×1","03年GPS地点から畦へ7m。復田した。13～15の遠景写真：8592。水田内にシャジクモあり。",""
,"M18-01","54402118",36.183420,140.231640,54402118.000000,"真壁18","M18-01",2007/08/19 0:00:00,"晴","－","0","1×1","",""
,"M18-02","54402118",36.183450,140.231210,54402118.000000,"真壁18","M18-02",2007/08/19 0:00:00,"晴","－","0","1×1","農道が新たに造成されているため刈り払いされている(側溝工事)。ヨシの刈り払い跡あり。草本が少ない。※現在は農道",""
,"M18-03","54402118",36.183390,140.231360,54402118.000000,"真壁18","M18-03",2007/08/19 0:00:00,"晴","－","0","1×1","1～3の遠景写真：8599",""
,"M18-07","54402118",36.184070,140.229400,54402118.000000,"真壁18","M18-07",2007/08/19 0:00:00,"晴","－","0","1×1","休耕中。",""
,"M18-09","54402118",36.183880,140.229300,54402118.000000,"真壁18","M18-09",2007/08/19 0:00:00,"晴","－","0","1×1","休耕中。",""
